"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point","discrete_point","time_point"
"783","df13cc2b9598cba85007fe775e5eb24c",491,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4322.1,10,"2020-09-07T00:00:00Z"
"784","06d7c1c4eecb312a27b56141ab8056c4",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5075.2,15,"2020-07-14T00:00:00Z"
"785","c16b02ce85fa7a9ae9ef7662b11ad421",365,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6293.9,5,"2018-12-18T00:00:00Z"
"786","1a6b335314fca851abe2f4d25792f202",365,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3750.6,15,"2018-12-17T00:00:00Z"
"787","08de23e337f1fe70764840e046cbbda7",371,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4545.3,20,"2018-12-17T00:00:00Z"
"788","a7624242371eff95a24c90cfba279779",371,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3914.8,20,"2019-05-13T00:00:00Z"
"789","e081c1ee9a1f4e9013743902daba70ed",365,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",1999.9,10,"2018-12-18T00:00:00Z"
"790","f3fbb89777a08737690385c97dd9bdaa",482,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5803,20,"2020-04-28T00:00:00Z"
"791","b0aeba63f4a69053f82c5bdd74df0035",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4661.8,20,"2020-09-08T00:00:00Z"
"792","50f696ff1f6f30b3b71097267716b37f",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4656.9,10,"2019-09-24T00:00:00Z"
